0,suspicious_char_path,len_path,top_tld,suspicious_word_domain,num_special_char_domain,https_protocol,num_slash,num_dots,url_length,is_threat_threat
,0.0,54.0,0.0,0.0,0.0,0.0,1.0,2.0,54.0,True
,1.0,57.0,0.0,0.0,0.0,0.0,3.0,5.0,158.0,False
,0.0,37.0,0.0,0.0,0.0,0.0,1.0,2.0,67.0,True
,0.0,23.0,0.0,0.0,0.0,0.0,1.0,2.0,23.0,False
,0.0,45.0,0.0,0.0,0.0,0.0,3.0,2.0,45.0,True
,0.0,15.0,0.0,0.0,0.0,0.0,1.0,1.0,15.0,False
,0.0,81.0,0.0,0.0,0.0,0.0,4.0,1.0,81.0,True
,0.0,36.0,0.0,0.0,0.0,0.0,2.0,3.0,36.0,False
,0.0,58.0,0.0,0.0,0.0,0.0,4.0,3.0,58.0,False
,0.0,28.0,0.0,0.0,0.0,0.0,5.0,3.0,54.0,True
,0.0,10.0,0.0,0.0,0.0,0.0,3.0,3.0,208.0,True
,0.0,23.0,0.0,0.0,0.0,0.0,2.0,4.0,23.0,True
,0.0,9.0,0.0,0.0,0.0,0.0,1.0,1.0,9.0,False
,0.0,75.0,0.0,0.0,0.0,0.0,5.0,1.0,75.0,False
,0.0,14.0,0.0,0.0,0.0,0.0,1.0,1.0,14.0,True
,0.0,67.0,0.0,0.0,0.0,0.0,3.0,1.0,67.0,False
,0.0,62.0,0.0,0.0,0.0,0.0,5.0,2.0,62.0,True
,1.0,78.0,0.0,0.0,0.0,0.0,3.0,3.0,337.0,False
,1.0,78.0,0.0,0.0,0.0,0.0,6.0,3.0,78.0,False
,0.0,52.0,0.0,0.0,0.0,0.0,5.0,3.0,52.0,True
,0.0,17.0,0.0,0.0,0.0,0.0,1.0,1.0,31.0,False
,0.0,60.0,0.0,0.0,0.0,0.0,6.0,1.0,60.0,True
,0.0,1.0,1.0,0.0,0.0,0.0,3.0,2.0,32.0,True
,0.0,68.0,0.0,0.0,0.0,0.0,9.0,3.0,90.0,True
,0.0,81.0,0.0,0.0,0.0,0.0,3.0,1.0,81.0,False
,0.0,22.0,0.0,0.0,0.0,0.0,1.0,2.0,22.0,True
,0.0,45.0,0.0,0.0,0.0,0.0,3.0,1.0,45.0,False
